codigo,nombre,cantidad_movimientos,monto_total,grupo_sugerido,confianza,observaciones
50004094-01-027,MANTENIMIENTO PLANTA REPORTADO DYNAMICS GIF,3146,6854433.12,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
50003100--,MOD-REPORTADO DYNAMICS,3146,38289573.56,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
50005100,MOI REPORTADO DYNAMICS,3146,33535168.2,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
50004101-01-027,OTROS GASTOS INDIRECTOS REPORTADOS POR DYNAMICS,3146,25078751.42,cuenta_contable,alta,Código numérico + descripción de cuenta mayor. Fuentes: cuenta_contable
C0062,SERVICIOS EN PUERTOS Y TERMINALES,3056,4041451.1,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
10701002,MATERIAL DE EMPAQUE,2947,288747160.64,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
NWM9709244,NUEVA WALMART DE MEXICO S DE RL DE CV,2821,4941689.96,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
50002008,VARIANZA POR REDONDEO,2593,267730.82,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
C0032,COMERCIAL CITY FRESKO,2440,8365917.38,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
C0095,PHARMA PLUS,2340,16511274.56,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
10701001,MATERIAS PRIMAS,2228,1246315836.76,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
10201002,CLIENTES NACIONALES MAQUILAS  0%,2190,216232007.66,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
50002002,REVALORIZACIÓN DEL COSTO DE INVENTARIO,2023,3988007.86,cuenta_contable,alta,Código numérico + descripción de cuenta mayor. Fuentes: cuenta_contable
10902009,DEP. ACUM. EDIFICIOS,1965,32034110.18,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: cuenta_contable
GANE581113,MARIA ELENA GARCIA NUÑEZ,1934,1918417.54,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
NOV820427B,NOVAPRINT S DE RL DE CV,1823,35411044.46,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
AOL821104TX3,ABASTECEDORA OLINKA SA DE CV,1767,689658.92,persona_moral_o_fisica,alta,Patrón RFC mexicano en código o nombre. Fuentes: proveedor_dim
20301102,ACREEDORES DIVERSOS NACIONALES TASA 0%,1743,5674125.52,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
NO_DEDUCIBLES,NO_DEDUCIBLES X NO CUMPLIR COMP REQ FISCAL,1690,825934.1,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
C0021,DISTRIBUIDORA LIVERPOOL,1686,10162389.5,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
ETI0505196,ETIROCH SA DE CV,1682,10333705.08,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
C0018,EXELTIS PHARMA MEXICO,1650,274509815.82,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
C0078,AZTURA LAB,1616,0.0,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
C0014,FARMACIAS BENAVIDES,1511,16313336.6,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
MAR900119H,MAREPA SA DE CV,1503,6926333.18,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
50002006,VARIANZA EN LA CANTIDAD DE PRODUCCION,1496,36772515.2,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
QNA0202193,QUANTUM NATURA SA DE CV,1472,29518112.8,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
10606001,IVA  PAGADO COMPRAS NACIONAL 16%,1416,421741974.62,impuesto_o_gobierno,media-alta,Términos fiscales o gubernamentales. Fuentes: cuenta_contable
IVL010809J,INDUSTRIAS VIA LACTEA SA DE CV,1397,52905097.76,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
20401008,20401008 PTU POR PAGAR,1342,19184271.86,nomina_o_pasivo_laboral,alta,Términos de nómina o pasivos laborales. Fuentes: proveedor_dim
BMN9302099,BANCO MERCANTIL DEL NORTE SA,1319,109371.76,banco,alta,Nombre contiene institución bancaria conocida. Fuentes: proveedor_dim
20404008,PROVISION OTROS GASTOS,1310,34747656.56,cuenta_contable,alta,Código numérico + descripción de cuenta mayor. Fuentes: cuenta_contable
10902005,DEP.ACUM. MAQUINARIA Y EQUIPO,1304,111914060.62,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
80030001--,OTROS GASTOS,1298,3.42,cuenta_contable,alta,Código numérico + descripción de cuenta mayor. Fuentes: cuenta_contable
EFE8908015,EFECTIVALE S RL DE CV,1261,9808462.22,impuesto_o_gobierno,media-alta,Términos fiscales o gubernamentales. Fuentes: proveedor_dim
50002007,VARIANZA DE SUSTITUCION DE PRODUCCION,1254,23799799.34,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
GAD130118J,GRAPHIC ARTE Y DISEÑO SA DE CV,1206,30075954.14,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
20602001,IMPTOS X PAGAR ISR RETENIDO NOMINA,1205,26528320.76,nomina_o_pasivo_laboral,alta,Términos de nómina o pasivos laborales. Fuentes: cuenta_contable
LAB230814J,LABOSCORP,1177,4030785.34,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
IRH830121B,IMPRENTA REYES HERMANOS SA DE CV,1161,24091307.22,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
GCC960325D,CAP SA DE CV,1136,25455843.76,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
TEBF911209,FELIPE ANTONIO TEJA BASTERRA,1129,2559945.26,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
10401001,ANTICIPO A PROVEEDORES NACIONALES,1113,149060990.52,cuenta_contable,alta,Código numérico + descripción de cuenta mayor. Fuentes: cuenta_contable
10101106,BANCO SABADELL SA CTA. 2086016,1103,3007693540.68,banco,alta,Nombre contiene institución bancaria conocida. Fuentes: cuenta_contable
CSE131107G,CONSTRUCTORA SEAMEX SA DE CV,1095,131202362.32,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
20401001,PASIVO NOMINA POR PAGAR,1057,226228119.6,nomina_o_pasivo_laboral,alta,Términos de nómina o pasivos laborales. Fuentes: cuenta_contable
TPT890516J,TOTAL PLAY TELECOMUNICACIONES SA DE CV,1056,318853.74,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
GFN061012B,GRUPO FARMACEUTICO NOVA SA DE CV,1047,13550352.62,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
PLA880118B,PLAMI SA DE CV,1045,58782037.88,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
CDC140520E,C&M DISTRIBUCIONES CIENTIFICA SA DE CV,1043,1192261.84,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
SNR9902268,SURTIDORA NACIONAL DE RODAMIENTOS SA DE CV,1018,1050001.26,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
CDI140625Q,CAPSUGEL DISTRIBUCION S DE RL DE CV,1012,26062077.14,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
10201001,CLIENTES NACIONALES MAQUILAS 16%,932,320765592.16,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
80020002,GASTOS SIN REQUISITOS FISCALES,898,2101145.82,cuenta_contable,alta,Código numérico + descripción de cuenta mayor. Fuentes: cuenta_contable
50002003,VARIANZA DE CAMBIO DE COSTO,896,254878.46,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
50002005,DESVIACIÓN EN EL PRECIO DEL PRODUCTO,892,10243132.84,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
50002022,CONSUMOS NO CONSIDERADOS EN RUTA DE FABRICACION,886,2881393.9,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
PHA9706159,PHARMACHEM SA DE CV,879,15652209.0,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
PRO720718R,PROCIVAC SC,876,1045250.5,impuesto_o_gobierno,media-alta,Términos fiscales o gubernamentales. Fuentes: proveedor_dim
60001049--08-022-,PUBLICIDAD Y PROMOCIONES,876,9110499.72,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
JUHR780505,RITA LISSETTE JUAREZ HAGEN,866,3144708.8,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
AQI0106263,ASESORIA QUIMICA INTEGRAL SA DE CV,826,1258323.1,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
LTI050607E,LD TRANSPORTACION INTEGRAL SA DE CV,804,489162.2,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
60001060-06-016,DEPRECIACION ACUM.MOB. Y EQUIPO OFICINA,802,163965.74,cuenta_contable,alta,Código numérico + descripción de cuenta mayor. Fuentes: cuenta_contable
CMS221109,COMERCIALIZADORA M.J.C.E. S. S DE RL DE CV,787,1079060.36,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
PGA220315,PLASTICOS GALEZ SA DE CV,784,15211296.4,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
CNA0601058,CIMA NATURAL SA DE CV,783,9453770.34,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
20405001,PROV DESCUENTOS SOBRE VENTA,766,102605964.44,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
10101105,BANCO BANORTE S.A. CTA. 0295854692,750,10495036.4,banco,alta,Nombre contiene institución bancaria conocida. Fuentes: cuenta_contable
GLM0211278,GENOMMA LABORATORIES MEXICO,740,7421197.82,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
10902007,DEP.ACUM. EQUIPO DE COMPUTO,732,7937228.26,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
ECO170609Q,EUSION COMERCIAL SA DE CV,729,1069464.8,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
20401008,PASIVO PTU POR PAGAR,728,13092849.88,nomina_o_pasivo_laboral,alta,Términos de nómina o pasivos laborales. Fuentes: cuenta_contable
ACM931025R,ASHLAND CHEMICAL DE MEXICO SA DE CV,679,11711925.82,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
SIN9412025,SCOTIABANK INVERLAT SA,671,2552161.36,banco,alta,Nombre contiene institución bancaria conocida. Fuentes: proveedor_dim
60001060-02-003,DEPRECIACION ACUM.MOB. Y EQUIPO OFICINA,649,290991.3,cuenta_contable,alta,Código numérico + descripción de cuenta mayor. Fuentes: cuenta_contable
COGR690117,RUBEN CONTRERAS GARCIA,617,1932017.24,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
C0066,ASPEN LABS,611,149467915.52,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
DEM8801152,DHL EXPRESS MEXICO SA DE CV,607,112206.34,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
FER730514B,FERRANDIZ SA DE CV,606,7535789.06,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
CEM230215L,COCA-COLO EMPAQUES,603,3345200.98,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
AORA851219,ANDREA APOLONIO RAMIREZ,589,947333.02,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
PLS1106033,PDM LAB SERVICE S DE RL DE CV,587,377239.52,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
NNU0601248,NANO NUTRITION S DE RL DE CV,570,14122608.4,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
AFS930618I,ARI FLEET SERVICES S DE RL DE CV,563,13887903.5,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
40005004-2-C0027,DESCUENTOS LINEAS PROPIAS 16%,558,22154638.28,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
50001001-2-C0003,COSTO DE VENTAS,553,3899293.68,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
C0009,PRODUCTOS CIENTIFICOS,549,222744918.96,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
GOHR000612,ROGELIO GOMEZ HERNANDEZ,544,576695.44,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
10604003,IVA ACRED. SUJETA A RETENCION 4% PENDIENTE DE PAGO,543,237795.2,impuesto_o_gobierno,media-alta,Términos fiscales o gubernamentales. Fuentes: cuenta_contable
DPL1707146,DISTRIBUIDORA PLASTICMAT SA DE CV,541,5100098.54,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
WLO221111M,WINDHOUND LOGISTICS,538,1558456.0,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
40001004-2-C0003,VENTAS LINEAS PROPIAS 16%,536,17170578.08,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
SPA070709F,SINGLE PACK SA DE CV,522,11965481.12,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
MEG840524R,AZELIS MEXICO SA DE CV,521,24928661.62,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
AIM210820Q,ASESORIA INDUSTRIAL EN MANTENIMIENTO Y CALIBRACION TLX SA DE CV,518,1112401.6,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
JISS710703,SALVADOR JIMENEZ SANDOVAL,513,1862880.0,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
FBE9110215,FARMACIAS BENAVIDES SAB DE CV,512,1774351.48,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
DRI180920T,DRIVEXPRESS,511,27844024.84,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
PLT110226T,PROVEEDORA LIMACON TEXTIL SA DE CV,499,310842.7,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
DMA810730C,DERIVADOS MACROQUIMICOS SA DE CV,494,9316703.32,impuesto_o_gobierno,media-alta,Términos fiscales o gubernamentales. Fuentes: proveedor_dim
EUR9303244,EUROELECTRICA SA DE CV,494,525515.42,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
XEXX0101010 FARMATEC,FAMAR TEC SRL,491,222314114.02,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
60001025-06-016,AMORTIZACION DE PRIMAS DE SEGUROS,485,2452865.32,cuenta_contable,alta,Código numérico + descripción de cuenta mayor. Fuentes: cuenta_contable
LCU131205N,LABS CUERNAVACA SA DE CV,476,394739.12,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
C0098,PUBLICO GENERAL,461,1613061.94,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
50004006-01-036,MANTENIMIENTO MAQUINARIA- GIF,460,10579042.08,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
CADJ840502,JOSE JUAN CAMARILLO DIAZ,457,616110.0,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
PQF910416F,PROVEEDORA QUIMICO FARMACEUTICA SA DE CV,448,1710375.68,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
CME910715U,COSTCO DE MEXICO SA DE CV,444,27496172.58,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
N170624QP1,SARFA INDUSTRIES S DE RL DE CV,444,1729520.0,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
CTP1211055,COMERCIALIZADORA TECNOEMPAQUES PLASTICOS SA DE CV,442,2906440.4,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
FPN710301G,FESTO PNEUMATIC SA DE CV,439,1265565.28,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
80010001,COMISIONES Y SITUACIONES BANCARIAS,427,1712869.64,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
ESN1105139,ESPECIALISTAS EN SUPLEMENTOS NATURALES APLICADOS  SA DE CV,415,60736511.08,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
50001001--C0026,COSTO DE VENTAS,414,42613256.18,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
10103001,INVERSION MXN SABADELL SA CTA.2777,413,2167739612.42,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: cuenta_contable
EPL960703B,ENVASES PLASTISOL SA DE CV,410,2919293.58,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
M981217SKA,VIMOR SA DE CV,410,280276.92,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
CATF830417,FRANCISCO JAVIER CARVAJAL TELLEZ,404,3799303.6,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
20404003,PROV COSTOS Y GASTOS PUBLICIDAD Y PROMOCIONES,404,70861348.98,cuenta_contable,alta,Código numérico + descripción de cuenta mayor. Fuentes: cuenta_contable
40001004--C0026,VENTAS LINEAS PROPIAS 16%,403,139829995.74,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
CSS160330C,CFE SUMINISTROS DE SERVICIOS BASICOS,401,34856945.72,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
50001001-1-C0004,COSTO DE VENTAS,392,117884940.42,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
CME1111216,IMCD MEXICO SA DE CV,391,8753473.56,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
10101108,BANCO BANCOMER CTA.164235401,385,404738677.16,banco,alta,Nombre contiene institución bancaria conocida. Fuentes: cuenta_contable
PBU080408T,PHARMA BURK,384,189089.32,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
FZA010319Q,FERRETERIA ZAPATA SA DE CV,382,500046.98,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
40001002-1-C0004,VENTAS MAQUILAS 0%,381,170946219.18,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
60001057-06-016,DEPRECIACION ACUMULADA EQUIPO DE COMPUTO,379,292349.32,cuenta_contable,alta,Código numérico + descripción de cuenta mayor. Fuentes: cuenta_contable
CME9906177,COLOR CON DE MEXICO S DE RL DE CV,375,5868259.6,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
20401005,PASIVO CREDITO INFONACOT,371,2970908.82,cuenta_contable,alta,Código numérico + descripción de cuenta mayor. Fuentes: cuenta_contable
ASE930924S,EDENRED MEXICO SA DE CV,368,13089282.6,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
50001001-2-C0027,COSTO DE VENTAS,343,27165147.06,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
10605003,IVA ACRED. RETENIDO PAGADO AL 4%,332,235816.4,impuesto_o_gobierno,media-alta,Términos fiscales o gubernamentales. Fuentes: cuenta_contable
40001004-2-C0027,VENTAS LINEAS PROPIAS 16%,328,87178620.24,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
CME950313M,CORPORACION MEXICO EXPRESS,322,31227655.36,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
ESI090312N,EQUIPOS Y SERVICIOS INDUSTRIALES REYCA SA DE CV,312,831894.28,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
OME920611M,OMYA MEXICO SA DE CV,311,3557489.5,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
PBS050817Q,PROTECTIO BURO DE SEGURIDAD PRIVADA Y LOGISTICA,310,436162.16,impuesto_o_gobierno,media-alta,Términos fiscales o gubernamentales. Fuentes: proveedor_dim
ISD950221H,PASE SERVICIOS ELECTRONICOS SA DE CV,308,3116898.48,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
40005004-2-C0003,DESCUENTOS LINEAS PROPIAS 16%,304,3142017.56,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
TME840315K,TELEFONOS DE MEXICO SAB DE CV,301,567118.04,contraparte_comercial,baja-media,Proviene de dimensión proveedor D365 sin más evidencia. Fuentes: proveedor_dim
